label,text0,text1
1,centrepoint winter white gala london,whiteness centrepoint winter white gala london
1,prince william taylor swift perform jon bon jovi,prince swift perform jon jovi
1,taylor swift prince william funny,taylor swift prince president taylor william funny
1,taylor swift breathtaking white gown meet prince william,taylor swift breathtaking white gown cope with prince william
1,taylor swift dazzle gold gown prince william charity gala,taylor swift bedazzle gold gown prince william charity gala
1,kfix rock news jon bon jovi pursuing buffalo bill,kfix rock news jon bon jovi pursuing american bison bill
1,taylor swift prince william sing bon jovi video,taylor swift prince william jovi bon sing video
1,prince william rock jon bon jovi,prince rock william jon bon jovi
1,funny cool prince william charm gala,funny cool prince william gala affair charm gala
1,bon jovi invited prince william onstage,william jovi invited prince bon onstage
1,taylor swift moving london prince william,taylor swift moving london prince capital of the united kingdom william
1,william sings rock roya threatens twerk,william sings twerk roya threatens rock
1,taylor swift prince william sing livin prayer,joseph deems taylor swift prince william sing livin prayer
1,taylor swift meet prince william,meet swift taylor prince william
1,bon jovi buy bill,bon jovi bribe bill
1,taylor swift stuns crystal gown winter white gala prince william,taylor swift gala crystal gown winter white stuns william prince
1,winter white gala picture,winter overwinter white gala picture
1,prince william performs song jon bon jovi taylor swift,prince william performs song jon bon jovi joseph deems taylor swift
1,taylor swift michelle dockery winter white gala,taylor swift michelle dockery winter gala affair white gala
1,william prince pop,william pop prince
1,video prince william rock taylor swift jon bon jovi,tv prince william rock taylor swift jon bon jovi
1,dibs royal guest rocked jon bon jovi taylor swift,dibs royal guest elizabeth taylor rocked jon bon jovi taylor swift
1,wednesday morning liner,wednesday morning liner
1,watch prince william singing livin prayer jon bon jovi taylor,watch prince joseph deems taylor william singing livin joseph deems taylor prayer jon bon jovi taylor
1,taylor swift taylor swift prince william funny,taylor swift gustavus franklin swift taylor swift prince william funny
1,prince william performs taylor swift jon bon jovi gala picture,prince william performs taylor swift jon dean swift bon jovi execute gala picture
1,watch prince william sing livin prayer taylor swift bon jovi,watch prince william whistle livin petition taylor swift bon jovi
1,taylor swift thrilled royal engagement,taylor swift thrilled royal engagement
1,swift bon jovi meet prince william homeless charity gala,swift bon jovi meet prince william homeless gala
